FSTL1	ASPM
ANXA3	CDH5
TRPM6	YME1L1
FEV	TNFSF9
FOXK2	MCM3AP
EED	TNPO2
SLC8A1	DLAT
DGUOK	TNFAIP8
HES1	CRY2
CLDN16	MAOA
ISL1	CSTA
KIAA0528	ZNF7
CD1A	PBRM1
SUPT4H1	BCL11A
TRAF5	CDSN
RAPGEF6	RAB26
NEIL1	EXOSC10
RBM10	BTG1
STARD5	FHL5
SIP1	M6PRBP1
EXOC3	AMIGO2
RAD23B	TPR
HIST3H3	ROR2
NCOR2	RPS23
TNFRSF9	NEU1
ALX1	THPO
CCNE1	UBD
TIAL1	BARD1
HIST1H1E	GLRB
SMUG1	C4BPB
USP14	ZXDA
CORO2A	SUMO2
APOE	CD209
ANGPT4	RPL15
DSTN	PIM2
FRS2	RAD51C
NR2E3	LRP1B
ST8SIA4	GMDS
TUBB2C	CREBBP
ORM1	RPS15A
HSPD1	TCERG1
F2RL1	PBX3
ZNF232	DHX40
ADH5	HOXD10
CDIPT	F8
TUBB	CAMK2G
PREP	CD5
RFX3	SNAPC2
CHMP1B	BMPR1A
COPS4	SSH3
MAP3K13	ANGPT1
BCHE	AURKA
EIF1AX	GUCA2A
BCL2	SCGB1A1
HBZ	RAB3A
HCRTR2	SCN1B
ZNF239	EWSR1
PLCL2	SNX15
DUSP5	CDON
PXDN	ITGAX
TNXB	FKBP2
BIRC7	POLR3G
TIMM22	PARK2
TOMM34	CSNK2A1
ZNF35	AMH
LIMD1	NDUFS8
CARD8	STX3
CD6	MRPS16
RSRC1	STX4
PTRF	JAM2
CRHBP	CACNA1S
THRB	AVEN
MYBPC1	DOK3
PSMD11	MYH14
AQP2	CBR1
ALAD	SF1
EN1	OLR1
ZNF187	ADD3
GSTM4	SEC16A
CDC42BPA	MATN2
F7	HCFC2
CNOT1	CLPS
ZBTB11	NMI
SPTBN1	SERINC1
EXOC2	CAMK4
IRS1	RFXANK
LSM4	BCAT2
MRPL34	XRCC2
HSF2	PTPN4
CDC42EP3	CNTN6
SRP72	TRAF3IP2
NUCB1	EIF3E
RHOH	PRKG1
MTX1	MAGEH1
ATR	TCF21
IGLV3-25	FZD2
TACR1	TSSK1B
SFRS5	CHAF1B
RASIP1	CLDN1
MYO5C	MALT1
DOHH	WIF1
MAPK10	MASP2
ZNF552	SEC63
NCAM1	HP
MED27	CTNND2
PRDX4	TCIRG1
AGT	PLAGL1
DAPP1	REG3A
PILRA	GFAP
ATF7	GYPB
FGF1	NDRG2
IL6R	CD82
CHRNB2	MFN1
COL7A1	SDC4
NFIL3	CAMP
SPG20	BACH2
DNAJA3	SLCO1A2
ECEL1	OR10J1
GCA	PTPRD
GLG1	PPL
CLDN6	CFDP1
CIITA	MXD4
EPHA4	RNF19A
FANCC	ESRRA
MUTYH	HSPA14
ZNF227	KRT14
NQO2	KIF21B
NEU1	TAF7
UBE2L6	PKMYT1
MED14	PDCD11
HP1BP3	PCDHA3
TSN	TAS2R9
SPRY2	MMP11
XPC	ADAM15
GMFB	CHMP1B
CCR3	TNFRSF4
PCSK6	PRL
STAT5A	TOMM7
PTPN2	TNFRSF25
SF3A3	ARFGAP3
HCFC1	BPGM
NFYA	PTPN1
PIGF	PTPN12
AHNAK	USO1
PTGER1	CYP17A1
KIF14	ADAM23
TENC1	MRP63
AHR	NUP160
PTPRH	RUNX3
TAS2R3	ZMYND11
KCNA4	SFRS3
PSMF1	PICALM
NFE2L2	NRAS
SH3PXD2A	PRC1
SH2D2A	ZNF107
NRF1	ELA3B
IFI27	CER1
SKAP2	PLXNA3
TJP3	ITPK1
MT1G	MSC
PARG	GYS1
OR2B2	SUPT7L
MICALL1	ARHGEF5
GALR2	NPAS2
CHRM4	ZNF768
GPBP1L1	POU3F4
TBX21	CTSH
KCNJ6	SNAI2
TNFAIP6	PFKL
CCT4	PCDHGC3
CASP5	LAMA5
CHMP6	ZNF238
CYP19A1	ZNF571
CD151	TP53BP2
NDUFA13	PRRX1
DOK4	PCAF
ARFRP1	HMGCS1
HRH2	TRIM24
SCAMP3	DRG1
SOX9	S100B
CRABP1	PFDN4
FAU	STEAP3
DTNB	YES1
CARD9	PFN2
PACSIN3	PTHLH
HOXB8	TRIM38
OAS1	MED15
SVIL	MYH3
PHB2	RDBP
NDRG2	PSMA5
GRIP1	GOT2
APBA2	MMP15
TCF21	POLR2F
AMELX	ZNF174
JPH2	SEPT4
DLST	SERPINB13
SLA	HLA-DMB
WNT6	NAP1L1
ATP2B2	CROP
RGS20	GNB1
TRAM2	BAI3
ZNF419	ALDH1L1
TLK1	ACTL6B
ELAVL2	STX8
KLF2	IL17A
RPN1	KRT5
SIX2	ASCL2
EIF3D	BCOR
HPS1	NUDT21
TFE3	NDUFB1
SNRPC	KIF14
KCTD13	SEMA3D
DLGAP1	TNFRSF21
IL8	STXBP6
IRF7	FNTB
SERPINB13	MSH3
SET	TIMP2
NAB2	CYP27A1
ASCL2	CHRD
PCDHGA10	PFDN2
SHH	TMEM123
SH2B1	PTTG2
THPO	CIITA
ATP5H	PRKCH
TYRP1	RLBP1
RFNG	EGLN3
EIF2S1	RPL21
TNFRSF17	TXNRD2
RBM7	PIK3R1
TAF9	RPLP1
TERF2	CLDN15
TNFRSF1A	RHOBTB2
GTF2H5	UBL4A
KIAA0841	STX10
RAB15	AKR1B10
HBP1	ING3
TNNT2	EFNA4
XPO4	CASP8
ARHGAP25	ACSL6
CA9	SRY
TLX1	COL14A1
RPS29	GATA2
SDHD	STAMBP
USH2A	UMPS
NF1	NPFF
OLR1	CTNNAL1
TAOK2	TESK2
PPFIBP1	PSMD1
BCL7A	HPS1
AGER	TOPORS
MCM10	TNPO1
MAP4K3	CPT2
PFTK1	TEK
CBS	APOC3
CLK3	NFATC1
FIS1	ITPKB
ELF4	SLC4A4
CLPS	ELL2
KDELR1	TTF2
NT5E	RPL6
NCSTN	NPTX2
CD83	RPL9
PARP4	MPP2
NPY	AMN
IL18	RXRB
VPS16	PXMP3
IGFBP2	SKAP2
NOTCH2	MAZ
SIGLEC1	TLK2
CD93	TAF4B
CEP164	IL2RG
ADD1	TGIF2
ZNF136	ZNF222
ANP32A	ACTN2
MGP	CTNND1
ACLY	SPTB
TRPC1	SMARCC2
FKBP5	TRO
SMS	KCNA2
MAPK7	FER1L3
RRAGC	FADD
PARD6A	OR7A5
WIF1	SH2D4A
STRN3	KL
GCH1	TRIM23
FLI1	TYRP1
DGKQ	FGF18
SCNN1B	MBL2
GPRIN2	HCRTR1
CSNK2A2	ZNF205
CPA4	ALCAM
RPL39	CXCL11
HERC3	SEPT10
MELK	TCF7L1
IL15RA	PRCC
CUL3	DLG1
CCT6B	IL8RB
GPX2	BMP10
ITK	GHR
CLIC5	HTR4
NR1D2	GCC1
KIAA0776	NRBP1
FBXL5	DUSP14
MEF2B	DCK
UQCRQ	TOMM20
PTPN4	AP2S1
ITGB2	LNPEP
STX5	TRIM22
CD72	ANXA7
ERH	CTTN
XRCC1	FANCE
VEGFA	GDNF
MPHOSPH1	DNAI2
PARVB	GP5
ELL	FGF5
CDH11	MMP24
NDC80	NDE1
AREG	ULK1
CDS2	ZNF573
SENP3	GRIN2B
GRIN2A	RGS4
NSUN5	GCHFR
MAN2C1	PABPC3
SF3B5	ACADM
CEP72	AARS
MYC	ASCC3
NRXN1	POLR3F
SUPT16H	ACSL5
PHYH	VDR
MUS81	BDKRB2
ULBP1	CD3D
IL10RB	GBE1
MAPK8IP2	MME
ARHGAP10	CDKN3
POU3F2	GRIK3
RPLP2	LHX6
FGF22	LGALS1
TRAPPC6A	TGIF1
LIN7B	LIPC
VCP	ADH6
NKX2-1	GDI2
BGN	UBE2E3
LAMA3	SSH1
SCGB1D2	NECAP2
SP4	FSCN1
SLC11A1	FGF7
ICAM2	EEF1A1
SH3GL1	GPR25
RALB	SLC26A3
GSK3B	UNC13A
GNGT1	TRPC7
GPD1L	POR
TNFAIP3	ATP6V0B
ATG3	CIRBP
NDUFV2	PQBP1
BLK	TPT1
PKP2	AICDA
TRIP10	NUAK2
TESK1	HMGCS2
MMP1	NFKBIE
ZNF611	ZNF492
CA12	CCRK
NCOA6	RAB31
PDE6G	DFFA
HLA-DQA1	CLPP
GCLC	PTPN22
MAN1A2	C4BPA
SEC61A1	GRM1
IKBKAP	HSBP1
TWSG1	SELPLG
UPF1	EIF5A
CTDP1	ANXA5
WNT16	IL8RA
ADAMTS6	ANKRD11
SNW1	DISC1
IL18RAP	MYO5A
RPP30	ZNF232
SLIT1	ETV6
CDC40	ARHGEF17
PRRX2	APTX
ELK4	OR51E2
ACOX3	HMOX1
ADCY1	GREM2
TP53I3	LATS1
SMURF2	WWTR1
TOR1A	SOCS2
P2RY4	MYH11
TRPV1	ADCY9
PES1	SUV39H2
ADAMTS12	SERPINB9
UCP2	IL18R1
ATG4A	ZNHIT3
FOXG1	NKRF
TRIM24	KCNK5
PABPN1	RALGDS
PROC	BSG
SLCO1C1	MAPRE3
SLC22A5	IFNA5
SYN2	APH1A
KIF23	PCDH12
ZDHHC17	CTDSP2
KCNH1	ATP6V1E1
PPARD	EFEMP2
YBX1	HNRNPU
STK24	CREB3
STK10	NPY5R
AAAS	FBN1
ABCD3	NMT1
EGR4	MLNR
EIF2AK2	IFITM3
CCL11	COL7A1
LMO7	LY6E
NUTF2	PRG2
ADRBK1	ANPEP
ZNF84	ACTR3
CITED2	TCEB3
GRM3	UGT2B15
STARD8	BCAS2
SIAH2	MMP13
ATP5A1	TRIM29
LALBA	SLC12A4
ATP5J2	UPK1A
ZNF409	BBS7
MMP3	GHRH
CRHR1	NDUFS6
CCL18	ACACA
RINT1	GABRG3
SPAG5	KIF17
F13A1	AFF4
DNAH7	MED22
SLC10A1	RPL35A
BRCA2	ADIPOR2
ACADM	MAPKAP1
XPO6	PRKCA
RAGE	GUCY1A3
FMR1	ZRSR2
DUSP3	YY1
CHMP2A	TIMM10
SLC12A3	KCNA4
ERCC4	MYO1E
MMP8	SLC25A3
HMHA1	RIPK2
RAD23A	MLF1IP
ACY1	CETP
MT1E	ARF5
PPP5C	SLC4A7
NDUFB7	MAN1A2
NARG1L	EVI2B
MYO9A	DLK1
ADCYAP1	CACNA1C
SP110	MPG
SH3BP2	ASB6
MAP3K7IP2	HARS
AGRN	P2RX3
CEP290	FREQ
RTN2	RAD51
PRPH2	CAMLG
PRPS1L1	RAPGEF3
IRX4	IQGAP1
NFKBIL1	ZNF225
CHD7	NDRG3
APBB3	RPS6KB1
RPS10	LILRB3
HIC1	RORB
TLE3	CDK2
PSMB7	COL2A1
IAPP	DMTF1
API5	MED13L
SLC6A1	NCOA2
OCLN	RBM23
SPRY1	ZCCHC8
CDON	ADH5
IGKC	SMARCA2
SERPINI1	PDS5B
MMP14	TACR1
TREM2	NDUFB5
DYNC1LI1	TAF12
CXCL2	P2RY1
FBXO9	DVL3
APPL2	MCM3
TNPO1	CDKN2D
CARD10	CSK
EEF1D	CYP19A1
SNX5	KCNJ9
SOD1	ATP5I
RAB6A	GTF2A1
CHML	CCT3
PACS1	MED21
BCR	AGXT
CAPN2	TNNI1
CHD2	ATG4A
FZD5	RYK
NR4A1	SEMA6A
ZSCAN21	GIT1
ATP5G3	MYLK
RPL15	CDC2
PRC1	MGP
ABCB9	CLDN9
ADAMTS8	BRAP
HOXC4	ZNF787
STAB1	DNAL4
CEACAM5	ILK
MYT1L	ZNF35
RASA2	NXF3
STAG1	IGSF1
DBI	SFN
PAPD1	PNMA1
DIABLO	GCG
TRHR	VPREB1
RPS6KA4	SETD8
TGFBRAP1	RPL28
CNTN1	TNFRSF10C
ZNF211	CXCL5
BBS4	NANOS1
PFDN1	SPTBN4
RGS11	ATP2B4
ITPKB	TYRO3
HOXC10	UBP1
MEOX2	ADCYAP1R1
EML4	UROS
ATP6V0C	LSM4
SGTA	NPPB
PRPF8	IPO9
PSMD6	PLG
FKBP3	PDE7B
PLEKHB2	GRIK1
RPL28	ASPSCR1
NOX3	UROD
ZNF544	TLX1
BIN2	HSP90AB1
RPL18A	ACOX1
UBOX5	KLF15
MPP6	ALDH5A1
TCERG1	RTN1
KRT16	CNOT8
KLF5	PSMB9
ARHGAP29	CDKN2C
TNFSF8	GABRA1
PDE5A	APOB
FBLN2	MTMR9
HBE1	ABP1
ROBO4	PRKDC
BCKDHA	EDNRA
MYOC	FHL3
RAB4A	TSGA14
GIF	PCDH21
RPL3	SPRR1B
THBS1	BNIP2
FARSA	GUCY2F
EIF4ENIF1	RPA3
TNFRSF21	ELK1
MKL2	KCNJ8
TBX3	NDEL1
CRIP2	ATP5B
DAXX	SLC34A1
ELMO1	BCL9
RGS13	FFAR2
UNC13A	DDX46
TAF11	RHOG
ORC3L	INCENP
PRX	RBMX
TARBP2	RPL36
CABIN1	CEP76
HIST1H2AC	CCR7
RBM5	FLT3LG
TUBGCP4	NOTCH1
NCOA1	REN
CDK7	DDOST
SSR2	CD1B
IL25	DCTN6
CHEK2	MCRS1
DRD4	CDK3
GDF11	OR2J3
SEMG2	RSBN1
CD247	NPAS1
MCM2	ANGPT2
TGS1	TIMM17B
MCM4	PRPS2
PDZD2	RAI14
MCC	GSTM3
IFT88	ADCYAP1
CEP192	ADRB1
RPL9	FLOT1
RAB32	MAP3K6
DDX43	HES1
P2RX2	IGFALS
ID2	NFYC
SLC24A1	CAD
ARHGAP5	SLC6A1
CETP	SCN2B
APOC2	PCTK1
PWP1	HIPK1
PTPN6	ITGA4
GRIK3	C1GALT1
CACNB2	ALDH4A1
PDE10A	PIK3CD
METAP2	ASIP
RHOQ	FBL
MAP3K4	PCSK6
PDHX	PDAP1
GNG11	HOXD13
MTA1	PC
CLCN3	IL6R
CDK2	STAT3
CDC37	RPL12
ZER1	PLP1
GRK4	OR10H2
PRPH	LIPF
PPP2CA	BIN2
LRP12	PRDX3
POLR2A	PAQR5
MC3R	NR6A1
NOL5A	GALNT3
PHEX	CCL16
HIST1H2AB	FBXO41
POLH	ITGA8
DDX17	KATNA1
PLEKHA2	XPO6
SNAPC2	TBP
LRRC1	UQCRFS1
GAS1	MX1
DGKA	TPM2
PEG3	PSG2
CXCL10	GFER
MCF2	MTCP1
ZNF263	IMMT
ZMYM4	PLA2G5
TACSTD1	HCRTR2
ATP6AP2	IFNA6
TYR	HSF2BP
TACR3	NEBL
VCAN	DGKD
SYDE1	ERF
UBE2A	CDK5RAP1
RNH1	EDA2R
MAFG	ETV7
BICD2	RPS3
CDH7	DGUOK
JUP	ACTL7A
SHANK2	PMP22
OSBP2	PPP5C
CBX3	WDR5B
TCL1B	TRPM6
FGF13	DNAJB5
KIF3A	MTX2
PDIA6	YKT6
DCXR	CSTF2T
MYL9	IVL
CDC23	USE1
PBXIP1	ERBB2
EHD1	PRPSAP2
MARCKSL1	CLSTN2
RAB11FIP5	GTF2H1
CDKN1A	CCND1
NCK1	RGL2
ZNF550	TERF1
TRAF3IP3	GPSM3
MIS12	AVP
CUL7	RAP2A
LIPC	NUCB1
EIF2B1	NAPA
PAK4	CCL22
CCRL1	ALAD
MAGOH	ZNF646
CENPB	ERCC6
JMJD1A	PSMD3
GATA2	VPS26A
CELSR2	NEUROG3
GABRA5	IGF2R
STAM2	GZMB
GPC3	TUBGCP5
GRP	SNCB
SV2A	GABRB2
TAF1C	SYT5
EBNA1BP2	RLN1
PDGFRA	EYA4
CACNG1	MZF1
PTPRJ	CTNNA3
CSTB	PPP4C
ZNF668	MAGED1
CENPI	COL10A1
RPP21	EMD
GTF2E2	GALR2
IL17B	NF2
CCNF	LZTS1
FOXH1	ISLR
KCNQ3	APC2
NFYB	AKAP11
NOVA1	POLR3K
FZD3	RNASE3
AKAP8	SLC1A3
NMT1	LCN1
SOCS5	NLRP3
HADHA	CCL18
DLG5	CBR3
CFDP1	VPREB3
PGM5	CLCA4
RND2	QKI
TFEB	FLNC
ATG12	CYP27B1
BMI1	FOXG1
RNMT	ATP6V1B2
MYH4	REG1A
MASP1	VPS11
MYCL1	SART3
FOSB	OS9
KRT35	CASP1
KIR3DL3	NR5A2
SEMA3F	TAOK2
NDUFB2	FLT4
G6PC	TLR2
S100A7	PIP5K3
CPE	CTRC
HARS2	TGM1
GNB1	YTHDC1
UPF3B	CFHR5
CXCR6	GLRX3
HLA-DOB	TXNRD1
HPSE	PRPH2
POLD1	CD9
LCAT	IK
CALD1	NPHS1
ST6GAL1	GM2A
POMC	UBE4A
NSMAF	NFKBIA
SKIL	CCHCR1
HMGCS1	PPP1R12B
PYGO1	MYF5
POLR3F	MS4A2
ALAS2	TFPI
WRNIP1	HIST1H2BK
MRPL23	TENC1
CNOT3	PVR
NFKBIA	F11R
GAK	SPRY2
PSMA6	SENP3
CPT1A	AP1M2
ALMS1	PDGFRB
LMO1	RENBP
EIF3I	KCNQ3
DCN	PSMD5
SUCLG2	DUSP9
FOXF2	ADAM19
S100A12	CAPRIN1
MLH1	CHRNA3
ACTN1	BMI1
IFNAR2	MNAT1
CYB5A	IL32
NRBF2	HSD11B1
P2RY11	PDE6A
CX3CR1	NUP107
PDE1B	COL5A3
ITGAE	KPNA6
SLC30A3	INSIG1
KISS1	ING1
PLP1	SEC13
ANKRD7	NDUFV2
SERPINB3	TUBA1B
ZNF391	CSF3R
TSFM	THRA
ABCC8	RBM9
BPI	ZNF197
MAP1S	PARC
HIST1H4A	MYOG
BNC2	SLC10A1
NDUFS3	CAP2
MAGED1	GGA3
WDR3	AP1G2
STMN2	ADAMTS12
ROR1	SERPINA5
HEXA	ZNF409
HNRNPU	POLRMT
USP39	PIP5K1C
FLT4	VANGL1
MAP2K3	CBFA2T3
OMG	GZMM
SCAP	PNRC1
ELA2	FOSL2
NARS	NPAT
PRCC	MMP12
ZNF675	TNC
CALCOCO1	TICAM1
ZBTB32	PPIF
RFC5	GPD1L
BRAF	CDH17
PAX5	CNGA1
PEBP1	PTPN6
AAK1	RGS6
FBXO2	KCNN2
IGKV1-5	MAPK6
COL1A2	PTPRB
SERPINA5	NRG1
GMEB1	NDUFB6
AKT3	KLK6
LTBP3	EPHB1
AMHR2	PTPRT
CTTN	RAB27A
UTP15	TUBA8
MYBBP1A	FGF23
HSBP1	RNF41
PASK	SUPT3H
NDEL1	KLF5
USP8	DERL1
BAIAP2	ARMC6
SI	IDH1
GULP1	PTP4A3
KCNE4	OR7C1
KCNS3	ZDHHC17
MBD1	KCND2
ITGAL	POMP
ARFGAP1	CDH12
ALPL	GTF2E1
MAP3K9	GYS2
ABLIM1	L3MBTL
BTAF1	ABCC6
MAST3	ATP2A1
UQCRC2	ZNF83
RYBP	TACC1
ZNF22	MBD4
RNPEPL1	PF4V1
GNB3	LRP8
HMGB1	LBP
ACTR2	MIS12
HOPX	LTB
ZNF304	ARID3A
OR12D3	HRH3
CDC25A	KIF5C
PTGER3	ATP5G1
ATOX1	SMTN
ZNF225	SLIT3
DNASE1	DPP4
STT3A	SFRS5
PTN	SRGAP3
RAE1	DEFA4
TNIK	GBX2
ACTN3	MYH4
CCNA1	GPAA1
ELP4	CPB1
RYK	SEPT9
RPL10A	CEBPD
LRP3	SMARCB1
QARS	MYO5C
IRS4	TBX21
BID	PIGG
OR2S2	SRI
MACF1	EDAR
SEC24D	CNTNAP1
TGFB2	CYP1A2
MDFIC	FKBP3
CHRNE	TCAP
HSPB8	LIN7A
MNAT1	VPS28
ADD3	OTUD7B
ATP6V0D1	FANCA
KLK6	ARHGAP4
MTA2	C8G
AXIN1	GPR3
RAP1A	EIF2S2
POLR1C	INPPL1
TRIO	KCNJ16
ID3	NXT2
POU4F2	P2RX7
ZNF473	RPS6KB2
CAPN3	PKP3
RECQL	LCK
AP1G1	PNRC2
SMARCC1	EXOC1
GNAI3	POLE2
KCNE1	SLC15A2
POLG2	LAMA2
CD4	RIMS1
IRF1	CEBPA
PTPRE	NRP2
PTK2B	NDUFA2
SDHB	ATP6V0C
RHOF	RUNX1T1
SH2D1A	ANXA11
CALB1	TBX5
MCRS1	RECK
PKD1	GLI2
JAM3	RCOR3
MYOM1	GSTP1
PHKG2	NTSR1
EXT2	VPS24
MOBKL1B	PTPN13
DIAPH2	BMP15
ABL2	POLR3B
ACVRL1	WT1
PTPN12	FZD6
TUBAL3	ANKZF1
CRY2	MRPS7
PTPRZ1	CHMP5
FCGR2B	LRP5
RXRA	ZNF446
MAP3K5	UBE2NL
PDLIM7	PFDN1
CLDN11	SMARCD1
SNIP1	KRT20
TIMP3	TCF7L2
CIB2	AOX1
MXRA8	FGF22
HRK	SRP19
RGS3	TRAPPC6A
SPAG16	CBFB
ARHGEF12	HIGD1A
NFATC1	TUBB2A
CCR9	DMD
GLUD2	MAP2K4
RAC2	PPP1CB
SEPT10	POP7
RPP40	HMGA1
SLC18A3	RPL37
RALY	RAB14
TBX5	MYL4
HMOX2	PPFIBP1
PLCG1	CSTB
HTR2C	EIF1B
SLC16A7	DAG1
TSGA14	EEF1E1
MDH1	TSHR
ITGB4	NDUFB8
DRD5	IL6
UBE2I	OGG1
ANGPTL3	STXBP2
HRH4	ZNF175
MYO6	CA2
GLRX2	RPN2
SLC25A5	PEX7
MYO1C	SH3PXD2A
RBM23	STK11
FAS	PITX3
KIFAP3	CLDN5
CSTF3	IRX4
PRKCI	SECTM1
OSMR	ADRBK2
SOD3	PRKCI
CYSLTR2	GRIN1
RPL12	ICAM5
ALDH4A1	TUBA1A
CRYAB	RPS10
COPA	FNTA
SLC26A3	EREG
KIF11	PLCB2
SKP2	CD97
ZNF175	PLEKHA2
PARVA	MLL
PTHLH	RAB11B
RNF34	ZNF79
PKLR	SPINT2
PCDHB17	POMT1
CD36	PIGF
CCT2	ATAD2
PRKG2	F13A1
ARF4	GNPAT
SLCO3A1	AKAP8L
MBTPS1	HNRNPA0
NCF2	ERP29
SH3GLB1	WNT4
SUPT5H	RPP40
XRCC6	SAFB
SOS2	POLR1B
PAX9	GBP2
CCDC99	STX6
USP16	MC4R
SCML2	APH1B
LARS	TNFAIP3
BCL9	IL18
TRAF3	RAPGEF1
PLXNB1	GNRH2
USP10	CHI3L2
F9	GSK3B
CNGB3	IRF4
LIPE	SSBP2
MED8	SPOCK3
STAT4	DLG2
LY86	TXK
SNRPA	CD81
GATAD2A	SGCD
PTGES3	MYH9
TAP1	SNRPG
CYP11B2	CARHSP1
ETS2	ITGA2
PRMT2	CASP5
PRDX1	PAX1
FGB	TAS2R1
PIWIL1	RPS19
EPHA5	HEYL
FOLR1	KIF20A
FREQ	CHI3L1
TCF12	HFE
POU4F1	SPON1
BCL2L2	MLC1
SNRPF	EHD3
CUGBP2	RCVRN
HIRA	TAF4
MERTK	BMP8B
BAG1	IBSP
CORO2B	CD3EAP
TBXA2R	BST1
NUPR1	MYOD1
CCL7	EFS
ITGA8	DOCK10
TP73	FCAR
PRKCD	LIMK1
NDUFB4	MSI1
DSC2	CLK3
GRIK4	ZNF556
COL4A3	ARHGEF18
MYO10	PTGFR
PEX1	PTPN21
TAPBP	TCEAL1
RET	GDI1
RUNX1	PIAS3
IL1RL1	IL17RA
ALX3	CTSS
MID1	RAD23A
MYO16	LIMA1
DBF4	DDX18
MAPK9	ZNF134
RIPK2	PDZD3
EFNB3	KCNA1
CLDN7	SPHK1
GLP1R	AP3B1
CSTF2T	CEP72
TRIM37	GINS4
GRHL2	PLIN
IREB2	CLINT1
GRSF1	CSF1
CNR1	GYG2
DLG3	KRT15
ZFP36L2	TFCP2
VGLL1	CBX5
IL1F7	USP33
NR2E1	PACS1
FTL	PDPK1
ARIH2	GCLC
SRR	PCMT1
SCNN1D	ZNF274
NOL3	ARID4A
IFITM2	FBXO9
ARNTL2	MMP26
ASPH	CTSF
CPA2	SDHD
LEPR	GPR17
SH3BGRL	IPO8
ERN2	WDR12
CDKN2D	AKAP12
PITPNA	SHMT2
PRPF4B	BLOC1S1
NRBP1	CSNK1A1
ILK	CAMK1D
SLC25A22	LTB4R
SEC14L3	RHOF
MRPS7	OR2C1
PITX2	TPO
FABP3	ATP5L
MYBPC3	RFC5
CCNL2	SNAP25
TRPV2	DUSP10
ZFHX4	TULP4
TSPYL2	CHMP4A
EIF2S3	MTHFD2
VBP1	MUS81
FZD7	PDCD10
CDH18	CCR6
CHL1	RCN2
PMS2CL	PARG
SPOCK3	CLP1
GSN	NTNG1
EGR2	ITCH
SMARCA5	ALPI
DGKZ	LFNG
EFNA1	MED6
ANK2	CLSTN1
SH3GL3	RYR3
AKR7A2	ZNF337
SENP6	COL13A1
RIF1	CCR8
FKBP10	UPF1
PRLH	PPIAL4
VEGFC	FKBP1A
VLDLR	ABCC9
LARP1	AR
DBT	NKX2-5
ITGB6	COPS6
SLC1A2	NEFL
CGGBP1	ERCC2
INVS	PLEKHB2
MPO	CLNS1A
TADA3L	MED23
ZBTB16	CYC1
PDGFB	AATF
MOBKL3	NMU
RFX1	METAP2
KLK2	POU1F1
VIM	PICK1
UQCRB	DKK3
SUMO3	CCT8
LGALS3BP	EDIL3
HOXA10	SNAP23
NGB	RPL10
LZTS1	YWHAB
ABCE1	SLC1A6
ARHGEF3	RGS13
SUPT3H	CCDC59
CSNK1G2	PTH
GABRB2	SPCS3
CD27	TRPC3
SLIT3	FST
EGLN1	EP300
PEX13	ZFAND5
MAN1C1	RAD54L
GRIN2B	CD1E
HSPA6	CAPZB
ATP6AP1	KRT4
NR1H2	LAGE3
PDK2	GABPA
LIN7A	MVK
PHC2	COL4A3
SPHK1	GNAI1
TRIM26	OR12D2
ADAM9	DSC1
RUVBL1	TNFSF15
APAF1	PTPRM
NEK1	RRM2
MYH11	CS
MPP2	MED24
MATN3	PPBP
TNK2	POU4F3
IFNGR2	POLR2E
NDUFA4	ACRV1
ITPR1	PSMD11
DUSP1	NGLY1
PKP4	NDUFA8
DDAH2	ZNF154
ATXN3	ZFR
TRIM27	UQCRQ
CDC42EP2	CFL1
P2RY2	CCNO
CHP	MID1
PAK3	KLF1
SOX17	BOP1
ZNF259	GLI3
TGFBR1	CASP2
GBP2	CREM
CDC42	BRIP1
AOF2	FBXO5
LRPPRC	MBD1
CD97	LAMC1
SNX2	TPM1
ATP1B2	BSPRY
RBX1	CDC6
COL4A3BP	DGKA
GRHPR	HOXA3
TSNAX	TMOD1
TAS2R1	MDM4
ZBTB7A	GPC1
SEMA7A	XBP1
ATM	HPSE
TIE1	MYBPH
EDF1	PPP2R1A
GTF2H4	ABCC8
NEUROD1	CHRNA2
PARP2	SEMA3C
TFF2	RAB3GAP1
IFNA5	FOXF2
ZNF134	SALL2
PCGF2	SNX4
CYP2A13	PRSS1
TNS1	ZZZ3
KCNH6	GRK6
CD9	RRAD
SRGN	RELN
VDAC3	TUB
EIF3F	ZNF217
CASP7	ARL2
KCNJ10	EN2
AATF	GIT2
CDC20	NGFRAP1
E2F5	CLTA
ACSL5	KCNG2
SMAD4	CD200
FCHSD2	SLC24A1
SLC4A7	GYPC
STAT6	DMPK
ZNF195	IRF3
GNL1	GJA8
THOP1	SCG2
PER3	COL4A5
CACNA1F	CCBP2
SCARB1	WWP2
ADCY8	KIF13B
SFRS8	UBE2B
PSG1	PPP1CA
NFIC	NDUFB7
GREM1	SFRS4
ITPR2	ADNP
PRKAG2	HIST1H2BD
H2AFZ	AHCTF1
MLLT3	MICAL1
CCNT2	TADA3L
PLK4	NRIP1
H2AFX	ID2
MED16	MMP17
GOSR1	UPF3A
RPL30	RAMP3
PLOD3	CDC73
SHC3	GRK4
WASF3	NUDC
DYNC2H1	PLA2G2D
DRG1	DPM3
SPCS1	GDF11
KDELR3	PCDH8
GABRA6	IFNA1
SRP19	CST7
RNF5	DYNLL1
LRP10	NES
MGMT	FDXR
BUB1	TLE3
MYLPF	EPHA2
DYNLRB1	CETN3
HCN3	GNAO1
CSH1	CEP57
MAP4K5	RPL14
EXOSC8	TFE3
LASP1	PPP2R5B
PLAA	SUV39H1
